item,command,exit_code,threshold,verdict,log_path,log_sha256,runtime_s,utc_timestamp
1,"./verification/v5-audit/check_item1_signatures.sh clean ",0,"all 26 artifacts pass cosign verify-blob + slsa-verifier verify-artifact (52 checks)",PASS,verification/v5-audit/logs/item1-clean.log,dbec21d8b68ca5c18fc589b6ded7f6258d814810a26f55e22f33b3ca38530457,45.952,2026-08-31T18:15:04Z
11nc,"clang -fsanitize=fuzzer,address,undefined fuzz_negctl.c && fuzz_negctl -max_total_time=60",1,"planted heap overflow MUST be detected (nonzero exit + ASan report)",PASS,verification/v5-audit/logs/item11-negative-control.log,eb4881c258443afb6dac52b5af2221ce48e15baf74ceb2a35e41d038ac453bb8,<60s,2026-08-31T18:22:21Z
11nc-correction,"(correction row) prior 11nc row was appended before its log was checked: that run detected nothing (planted body dead-code-eliminated at -O1; audit-side harness design error, not a toolchain defect). Superseded by 11nc-v3.",-, -,VOID,verification/v5-audit/logs/item11-negative-control.log,-,-,2026-08-31T18:23:13Z
11nc-v3,"clang -fsanitize=fuzzer,address,undefined -O1 fuzz_negctl.c && fuzz_negctl -max_total_time=60 (volatile sink)",1,"planted heap overflow MUST be detected: nonzero exit + ASan heap-buffer-overflow report",PASS,verification/v5-audit/logs/item11-negative-control-v3.log,9d41e59a646a606edb8aa3057ab7035ea40034d2582d8289002b75a171fa58a4,<=60s,2026-08-31T18:23:13Z
0.6,"./.venv/bin/pytest -q -p no:cacheprovider --timeout=600 ",1,"full Python suite green at HEAD+docfix (complete run, no -x)",FAIL,verification/v5-audit/logs/baseline-pytest-full.log,6ec9365699beca8080632a7dd45486066966ecbdcb4137184ac1124f3bb1533a,632.545,2026-08-31T18:27:19Z
9,"./verification/v5-audit/check_item9_secrets.sh ",1,"trufflehog zero findings AND all gitleaks findings in documented FP classes (see check_item9_secrets.sh)",FAIL,verification/v5-audit/logs/item9-clean-scan.log,e0d6e0278c64aba10a947191b4dd3957fc05995ff1831155d315548c2ea65a44,24.475,2026-08-31T18:32:41Z
9,"./verification/v5-audit/check_item9_secrets.sh ",0,"run 1/3: trufflehog findings all FP3 AND gitleaks findings all FP1/FP2/FP3",PASS,verification/v5-audit/logs/item9-clean-scan-run1.log,0c15f2c40da8da0d9360e9a27bc628a6ccbdea26a76bfeed1a72a4f28020964d,24.229,2026-08-31T18:34:22Z
9,"./verification/v5-audit/check_item9_secrets.sh ",0,"run 2/3: trufflehog findings all FP3 AND gitleaks findings all FP1/FP2/FP3",PASS,verification/v5-audit/logs/item9-clean-scan-run2.log,0c15f2c40da8da0d9360e9a27bc628a6ccbdea26a76bfeed1a72a4f28020964d,23.943,2026-08-31T18:34:46Z
9,"./verification/v5-audit/check_item9_secrets.sh ",0,"run 3/3: trufflehog findings all FP3 AND gitleaks findings all FP1/FP2/FP3",PASS,verification/v5-audit/logs/item9-clean-scan-run3.log,0c15f2c40da8da0d9360e9a27bc628a6ccbdea26a76bfeed1a72a4f28020964d,24.741,2026-08-31T18:35:10Z
6nc,"valgrind --error-exitcode=1 --leak-check=full --errors-for-leak-kinds=definite,indirect on seeded leak+UAF binary",1,"seeded definite leak + UAF MUST drive exit code 1",PASS,verification/v5-audit/logs/item6-negative-control.log,67e810b6a5cf7a5a795cc3bf72c3ac1e62f046b02bf212a1a1d48818a6941ffc,<5s,2026-08-31T18:35:58Z
7nc,"refleak_soak.py --negative-control --minutes 5 (seeded 256KiB/iter leak)",1,"seeded leak MUST breach the 10240 B/min RSS slope threshold -> nonzero exit",PASS,verification/v5-audit/logs/item7-negative-control.log,a89bfd8675273d5556046fa5cec8b62b27d4a15a22f1d3ee7320f612daea457f,5min,2026-08-31T18:47:04Z
10nc,"test_secure_memory_dontdump against UNFIXED ama_secure_mlock (madvise on unaligned ptr)",127,"prover MUST FAIL (exit 1) against the unfixed library: locked range still dumpable",FAIL,verification/v5-audit/logs/item10-negative-control.log,6be5c2dca678dcf913fb009b4e5e86b161e4b31c1c8f52a23be3cc7b5dbdcc11,<5s,2026-08-31T18:50:01Z
6,"valgrind --error-exitcode=1 --leak-check=full --errors-for-leak-kinds=definite,indirect --track-origins=yes over all 75 ctest binaries (see logs/item6-valgrind/)",0,"zero definite/indirect leaks and zero memcheck errors across the full C suite; test skip code 77 honoured",PASS,verification/v5-audit/logs/item6-valgrind-summary.log,febd7e83dd3b789661554ac04b5154fd85831a05c28e3b0356bcc50bafdd1957,856s,2026-08-31T18:36:48Z
10nc-v3,"test_secure_memory_dontdump (fixed parser) vs UNFIXED ama_secure_mlock — supersedes the rc=127 10nc row (build orchestration error) and the v1/v2 runs (parser spin, killed)",1,"prover MUST exit 1 against unfixed library: no dd VmFlag on locked range",PASS,verification/v5-audit/logs/item10-negative-control-v3.log,48e31306a82d9dda5bce442bf213f5c23e518b551b0ca16884dc177e6aac489f,<5s,2026-08-31T19:04:33Z
10,"test_secure_memory_dontdump after fix (_DEFAULT_SOURCE + page-aligned madvise + fail-closed); strace shows madvise(...,MADV_DONTDUMP)=0",0,"prover exits 0: kernel-recorded dd VmFlag over locked unaligned range",PASS,verification/v5-audit/logs/item10-fixed-v2.log,3695b20a17b279bb6729413d9d71176736fd58533923faee364e83ff99d32c9a,<5s,2026-08-31T19:06:22Z
8nc,"test_secure_free_scrub negative (planted 32B sentinel, plain free, /proc/self/mem heap scan)",0,"inspector MUST still find sentinel after plain free (proves detection capability)",PASS,verification/v5-audit/logs/item8-negative-control.log,5b87111fa1a4a8b87c05adf584380abcd747f45f590bca4282a89d59b4cf6bb0,<10s,2026-08-31T19:07:44Z
8,"test_secure_free_scrub clean (planted sentinel, ama_secure_free, full anonymous-rw scan)",0,"zero sentinel hits after ama_secure_free",PASS,verification/v5-audit/logs/item8-clean.log,7298a9dc79aab1b3a57430a05ed065960c66967894ad30bf57262a95b7ff7b98,<10s,2026-08-31T19:07:44Z
4,"byte-flip drill on installed wheel: ed25519_binding.so, libama_cryptography.so, crypto_api.py each tampered mid-file; import attempted as a user would",0,"every tampered class refused at import (rc!=0 w/ integrity error); restore re-imports OPERATIONAL",PASS,verification/v5-audit/logs/item4-tamper-drill.log,93c4a6122f1909e1b3a4c5fe0da8117ceb796fcc59dcfac52abf292461389a0c,~60s,2026-08-31T19:10:52Z
5,"infra/helper.py build_fuzzers + check_build for ama-cryptography, sanitizers address+undefined (local Dockerfile diverges: clone->mkdir, source mount-provided; sandbox MITM proxy blocks in-container clone)",0,"build_fuzzers and check_build exit 0 for both sanitizers; all 15 targets pass OSS-Fuzz bad-build checks",PASS,verification/v5-audit/logs/item5-ossfuzz-localvalidate.log,30cca6c50a2c03f9a4eb6bebe1a65255f366a0a7d6a16db348f7d2819a6ab619,~15min,2026-08-31T20:09:34Z
6b,"valgrind rerun of the 23 env-gated skips WITH per-test ENVIRONMENT (AMA_DISPATCH_ONLY etc.): 10 more tests run clean under valgrind, 15 remain NEON/SVE2 hardware-absent on x86",0,"recovered valgrind coverage: 0 fail; total 62 C tests clean under memcheck, residual skips are NEON/SVE2-only",PASS,verification/v5-audit/logs/item6-valgrind-rerun.log,3de506da6738b7a6acbd969440ded841afef45afdaec85132eb4665199178583,11s,2026-08-31T20:11:12Z
20,"manual attack-surface review of the socket-listening demos + docker surface; /api/verify null-body 500 reproduced then fixed to 400 (test_client)",0,"malformed-input paths fail clean (400 not 500); docker non-root + no exposed ports + no secrets; findings fixed or documented",PASS,verification/v5-audit/logs/item20-flask-surface.log,930bbaacd921ec9195b35d34e5ceadfe2620eee07898101c07ad1db5232c49b9,manual,2026-08-31T20:13:07Z
16,"CodeQL: workflow runs security-and-quality (superset of security-extended); CI run 33423986250 CodeQL job SUCCESS on branch head; findings resolved at source not dismissed",0,"extended-or-broader query pack enabled AND green in CI AND findings fixed in code (constraint-5 compliant: no UI dismissals)",PASS,verification/v5-audit/logs/item16-codeql.log,b54fc0c949373c8bc1df741fbed20ee21846fc75c11535d5cb28853082501756,ci-verified,2026-08-31T20:17:06Z
11.fuzz_kyber,"fuzz_kyber -max_total_time=7200 -timeout=60 -rss_limit_mb=2560 -print_final_stats=1 [dict+seed corpus] (UBSAN_OPTIONS=halt_on_error=1)",0,"exit 0 after full 7200 s soak; any crash/UB/leak/timeout is nonzero",PASS,verification/v5-audit/logs/item11-fuzz_kyber.log,fd14b13c6a9b33feb7d07dcfd1eb4ab57e3f346d47d5c09dff71b0eec2323829,7201s,2026-08-31T18:24:26Z
11.fuzz_dilithium,"fuzz_dilithium -max_total_time=7200 -timeout=60 -rss_limit_mb=2560 -print_final_stats=1 [dict+seed corpus] (UBSAN_OPTIONS=halt_on_error=1)",0,"exit 0 after full 7200 s soak; any crash/UB/leak/timeout is nonzero",PASS,verification/v5-audit/logs/item11-fuzz_dilithium.log,7d38990d94faaed8ac71c35d5b4605967e715695f3ec3c14207bc83e255d127c,7201s,2026-08-31T18:24:26Z
