id	command	purpose	exit_code	log	log_sha256	duration_s	host	utc	last_line
A-11	semgrep --version 	semgrep	0	docs/audit/logs/phaseA/semgrep.log	c99a9c3430b553033475ff0535bea568ea03d4c58838cfb3d86c9094be8c65f1	1.377	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:31Z	1.176.0
A-12	cppcheck --version 	cppcheck	0	docs/audit/logs/phaseA/cppcheck.log	e458f60048e8bafd7420b246d7a1e99dc5b9af74b7c0ad92ba3b5940508c5e63	0.005	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:31Z	Cppcheck 2.13.0
A-13	clang-tidy --version 	clang-tidy	0	docs/audit/logs/phaseA/clang-tidy.log	cfb9286322cccef53a692448cf4007a998d186dfb8e8313d317390a95eeb10f1	0.025	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:31Z	  Optimized build.
A-14	bash -c /tmp/claude-0/-home-user-AMA-Cryptography/7da6a6a3-7996-5d8d-a052-37df782d45a9/scratchpad/codeql/codeql/codeql\ version\ 2\>/dev/null\ \|\ grep\ -v\ JAVA_TOOL\;\ /tmp/claude-0/-home-user-AMA-Cryptography/7da6a6a3-7996-5d8d-a052-37df782d45a9/scratchpad/codeql/codeql/codeql\ resolve\ languages\ 2\>/dev/null\ \|\ grep\ -E\ \'\^\(python\|cpp\|actions\)\ \'\ \|\ cut\ -d\'\ \'\ -f1 	CodeQL CLI (bundle downloaded this session; path via AUDIT_CODEQL)	0	docs/audit/logs/phaseA/codeql.log	50b9a0e670c0f2426f13a3372b2fd0b0e15327ce9f7db698def0e2017f189503	1.804	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:33Z	cpp
A-15	bash -c mypy\ --version\;\ ruff\ --version\;\ black\ --version\ \|\ head\ -1\;\ bandit\ --version\ \|\ head\ -1 	mypy ruff black bandit	0	docs/audit/logs/phaseA/pytools.log	2d5b4036eb1761b62530c6cf35805859624ef72abe44a0c55f2913a955c26db9	0.392	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:34Z	bandit 1.9.4
A-16	bash -c softhsm2-util\ --version\;\ ls\ -la\ /usr/lib/softhsm/libsofthsm2.so\;\ python3\ -c\ \"import\ PyKCS11\;\ print\(\\\"PyKCS11\\\"\,\ PyKCS11.__version__\ if\ hasattr\(PyKCS11\,\ \\\"__version__\\\"\)\ else\ \\\"ok\\\"\)\"\;\ pkcs11-tool\ --version\ 2\>\&1\ \|\ head\ -1 	softhsm2 + PyKCS11 + pkcs11-tool	0	docs/audit/logs/phaseA/softhsm.log	cecdf97c57c922aa5eb877b34fe6726e6f70fc11547e4a3fbd68f2894f58ea5b	0.045	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:34Z	pkcs11-tool: unrecognized option '--version'
A-17	bash -c sigstore\ --version\;\ /tmp/claude-0/-home-user-AMA-Cryptography/7da6a6a3-7996-5d8d-a052-37df782d45a9/scratchpad/bin/cosign\ version\ 2\>\&1\ \|\ grep\ -E\ \'GitVersion\|GitCommit\' 	sigstore python client + cosign	0	docs/audit/logs/phaseA/sigstore.log	c1b1b352197789840a2e3267d879a907d2378289bcd247713b0c259cc59cc943	0.516	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:34Z	GitCommit:     9a4cfe1aae777984c07ce373d97a65428bbff734
A-18	bash -c command\ -v\ gh\ \|\|\ \{\ echo\ \"gh\ ABSENT\"\;\ exit\ 3\;\ \} 	gh CLI (expected absent; GitHub reached via MCP)	3	docs/audit/logs/phaseA/gh.log	a77c8a16b61018701d4e74d95abf727dff151d081ced10e7b86dc5ca371c2ebf	0.003	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:34Z	gh ABSENT
A-19	bash -c python3\ -c\ \"import\ mutmut\,\ importlib.metadata\ as\ m\;\ print\(\\\"mutmut\\\"\,\ m.version\(\\\"mutmut\\\"\)\)\" 	mutmut	0	docs/audit/logs/phaseA/mutmut.log	24d8230807c99d9afc2ff18d9689bc3487c4d230e4059035ebf143fb43a60edc	0.077	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:35Z	mutmut 3.7.0
A-20	bash -c python3\ --version\;\ pytest\ --version\;\ python3\ -c\ \"import\ hypothesis\,\ Cython\,\ numpy\,\ scipy\;\ print\(hypothesis.__version__\,\ Cython.__version__\,\ numpy.__version__\,\ scipy.__version__\)\" 	python, pytest, hypothesis, Cython, numpy, scipy	0	docs/audit/logs/phaseA/python.log	59f64ec9840db9957c6e2ac4bbec56ee30a1b7b9a71a3f86ee9a7efb7737bb76	0.366	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:35Z	6.167.1 3.3.0 2.4.6 1.17.1
A-21	bash -c for\ u\ in\ https://raw.githubusercontent.com/usnistgov/ACVP-Server/master/README.md\ https://raw.githubusercontent.com/C2SP/wycheproof/master/README.md\ https://csrc.nist.gov/\ https://pypi.org/simple/pip/\ https://files.pythonhosted.org/\ https://rekor.sigstore.dev/api/v1/log\ https://tuf-repo-cdn.sigstore.dev/1.root.json\ https://api.github.com/\ https://github.com/\ https://registry-1.docker.io/v2/\ https://www.rfc-editor.org/\;\ do\ printf\ \"%-70s\ \"\ \"\$u\"\;\ curl\ -sS\ -o\ /dev/null\ -w\ \"%\{http_code\}\\n\"\ --max-time\ 30\ \"\$u\"\ \|\|\ echo\ \"curl-fail\"\;\ done 	network: corpora and package indexes the suite gates on	0	docs/audit/logs/phaseA/network.log	f3c230f5b0636fe29a6b7a087ad28e66403e0d7c00c79777c70aca61da44ed49	2.586	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:38Z	https://www.rfc-editor.org/                                            200
A-22	bash -c docker\ version\ 2\>\&1\ \|\ head\ -3\;\ docker\ info\ \>/dev/null\ 2\>\&1\ \&\&\ echo\ daemon-up\ \|\|\ echo\ daemon-DOWN 	docker	0	docs/audit/logs/phaseA/docker.log	f4a9067deab4e34fa7407aa92b11afa64ffdad2a5918e839594ca6f8454aa13b	0.093	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:38Z	daemon-up
A-23	bash -c for\ f\ in\ avx2\ avx512f\ avx512vl\ avx512bw\ avx512ifma\ vaes\ vpclmulqdq\ gfni\ sha_ni\ avx512_fp16\ amx_tile\ sve\ sve2\;\ do\ printf\ \"%-12s\ \"\ \$f\;\ lscpu\ \|\ grep\ -q\ -w\ \"\$f\"\ \&\&\ echo\ present\ \|\|\ echo\ ABSENT\;\ done\;\ echo\ \"os:\ \$\(uname\ -s\)\ \(no\ Windows\,\ no\ macOS\,\ no\ real\ HSM\,\ no\ AArch64\ silicon\)\" 	x86 ISA extensions present on this host (lscpu flags)	0	docs/audit/logs/phaseA/hw-flags.log	3bfe53913528cf697b0a01b66262c8806605179c2b333930591edd87f1d3521a	0.040	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:38Z	os: Linux (no Windows, no macOS, no real HSM, no AArch64 silicon)
A-24	bash -c cd\ build-release\ \&\&\ ctest\ -N\ \|\ tail\ -1\ \&\&\ ctest\ -j4\ 2\>\&1\ \|\ grep\ -E\ \"tests\ passed\|Total\ Test\ time\|Skipped\" 	Release C build + ctest (baseline, this host)	0	docs/audit/logs/phaseA/ctest-release.log	f5df5f01072d1c9986fa88a508b4ad1c39e8b2a5d407b1ab2634ec0fdda14427	7.508	x86_64 Linux 6.18.44-fc-v22 Intel(R) Xeon(R) Processor @ 2.10GHz 4cpu	2026-09-02T05:55:45Z	  73 - test_sha256_neon_kat (Skipped)
