path	changed_in_pr	copilot_reviewed	executed_by	ledger_ids	measurement_tables	read_by_auditor	claims_executed	negative_controls	findings
.github/workflows/ci.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (digest, mypy, ruff/black, gate steps)	0	NC-03,NC-06,NC-15,NC-29,NC-29b,NC-29c,NC-01	none
.github/workflows/corpus-provenance.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/dudect.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (build recipe, measurements)	0	none	none
.github/workflows/fuzzing.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (build and run recipe)	0	none	FINDING-0008
.github/workflows/integrity-anchor-check.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/release.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/security.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.github/workflows/static-analysis.yml	yes	yes (per PR description)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	partial (Valgrind lane)	0	none	none
.github/workflows/wiki-sync.yml	no	n/a (not in the PR diff)	check_workflow_commands, check_action_pins, negative controls NC-01/NC-29b/NC-29c; lanes replicated locally from these recipes	NC-*x92,V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.gitignore	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	full	0	none	none
.pre-commit-config.yaml	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
.semgrep.yml	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
AMA_CRYPTOGRAPHY_ETHICAL_PILLARS.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
ARCHITECTURE.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CHANGELOG.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	partial (5.0.0 section)	1505	none	none
CMakeLists.txt	yes	yes (per PR description)	consumed by every CMake configure of the C lanes	V-ctest*x14,V-gate*x61,V-strict*x5	none	no	0	none	none
CODE_OF_CONDUCT.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CONSTANT_TIME_VERIFICATION.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CONTRIBUTING.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CRYPTOGRAPHY.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CRYPTO_REVIEW_CHECKLIST.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
CSRC_STANDARDS.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
ENHANCED_FEATURES.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
IMPLEMENTATION_GUIDE.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
INVARIANTS.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	partial (claims extraction)	0	none	none
MANIFEST.in	yes	yes (per PR description)	consumed by the editable install, pytest, mypy, ruff and black runs	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
MONITORING.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	3	none	none
Makefile	yes	yes (per PR description)	consumed by the analysers and builds this session ran (ruff/black/semgrep/clang-tidy/cppcheck configuration, the pre-commit set, the ignore rules) and by the workflow and pin gates	V-black*x1,V-ctest*x14,V-gate*x61,V-ruff*x1,V-strict*x5	none	no	0	none	none
README.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	partial (claims extraction)	1	none	none
SECURITY.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	partial (claims extraction)	0	none	none
THREAT_MODEL.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
ama_cryptography.pc.in	yes	yes (per PR description)	licence and packaging metadata: header, secrets, line-ending and packaging gates	V-gate*x61	none	no	0	none	none
ama_cryptography/__init__.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	NC-28	none
ama_cryptography/__main__.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_artefact_source.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_asn1.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_build_sign.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_finalizer_health.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_integrity_digest.txt	yes	yes (per PR description)	licence and packaging metadata: header, secrets, line-ending and packaging gates	V-gate*x61	none	no	0	none	none
ama_cryptography/_integrity_signature.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	full (build artefact handling)	0	none	none
ama_cryptography/_module_state.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_numeric.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/_post_kats/ml_dsa_65_kat.json	no	n/a (not in the PR diff)	loaded/verified by the pytest suite and the POST/KAT provenance gates	V-gate*x61,V-pytest*x1	none	no	0	none	none
ama_cryptography/_post_kats/ml_kem_1024_kat.json	no	n/a (not in the PR diff)	loaded/verified by the pytest suite and the POST/KAT provenance gates	V-gate*x61,V-pytest*x1	none	no	0	NC-40	none
ama_cryptography/_post_kats/slh_dsa_sha2_256f_kat.json	no	n/a (not in the PR diff)	loaded/verified by the pytest suite and the POST/KAT provenance gates	V-gate*x61,V-pytest*x1	none	no	0	none	none
ama_cryptography/_post_kats/slh_dsa_shake_128s_sigver.json	no	n/a (not in the PR diff)	loaded/verified by the pytest suite and the POST/KAT provenance gates	V-gate*x61,V-pytest*x1	none	no	0	none	none
ama_cryptography/_self_test.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/adaptive_posture.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/agent_binding.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/ascon.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/crypto_api.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/double_helix_engine.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/equations.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/exceptions.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/hybrid_combiner.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/integrity.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/key_formats.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/key_management.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/legacy_compat.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/monitor.py	no	n/a (not in the PR diff)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/monitoring.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	NC-19,NC-24	none
ama_cryptography/pqc_backends.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	partial (AmaContext keygen and pairwise test)	0	NC-09,NC-17,NC-30	FINDING-0003
ama_cryptography/py.typed	no	n/a (not in the PR diff)	type stubs and the typing marker: consumed by mypy --strict and the type-check-scope gate	V-gate*x61,V-mypy*x1,V-pytest*x1	none	no	0	none	none
ama_cryptography/rfc3161_timestamp.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/secure_channel.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/secure_memory.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/session.py	yes	yes (per PR description)	full pytest suite with native backends required, mypy --strict, ruff, black, integrity digest, gates	F-*x32,V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
ama_cryptography/sha3_binding.pyi	no	n/a (not in the PR diff)	type stubs and the typing marker: consumed by mypy --strict and the type-check-scope gate	V-gate*x61,V-mypy*x1,V-pytest*x1	none	no	0	none	none
assets/defense_layers.png	yes	yes (per PR description)	generate_visuals --check (manifest against the tree), the ACVP/compliance gates, and Phase F acceptance runs	F-*x32,V-gate*x61	none	no	0	none	none
assets/performance_dashboard.png	yes	yes (per PR description)	generate_visuals --check (manifest against the tree), the ACVP/compliance gates, and Phase F acceptance runs	F-*x32,V-gate*x61	none	no	0	none	none
assets/test_coverage.png	yes	yes (per PR description)	generate_visuals --check (manifest against the tree), the ACVP/compliance gates, and Phase F acceptance runs	F-*x32,V-gate*x61	none	no	0	none	none
assets/visuals_manifest.json	yes	yes (per PR description)	generate_visuals --check (manifest against the tree), the ACVP/compliance gates, and Phase F acceptance runs	F-*x32,V-gate*x61	none	no	0	NC-44	none
benchmark-report.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
benchmarks/README.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/__init__.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/_dashboard_template.html	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/arm-baseline.json	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/baseline.json	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	NC-36	none
benchmarks/benchmark-results.json	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/benchmark_c_raw.c	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/benchmark_runner.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/benchmark_suite.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/check_baseline_justification.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	NC-36	none
benchmarks/comparative_benchmark.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/competitive.html	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/detector_baseline_eval.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/generate_charts.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/generate_competitive.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/generate_dashboard.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/keyformat_import.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/multi_library_results.json	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/performance_comparison.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/performance_suite.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/phase0_baseline.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/pqc_comparative_bench.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/pqc_results.json	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
benchmarks/validation_suite.py	yes	yes (per PR description)	mypy --strict, ruff, black; the benchmark baseline files are read by the baseline-justification gate (NC-36)	V-black*x1,V-gate*x61,V-mypy*x1,V-pytest*x1,V-ruff*x1	none	no	0	none	none
cmake/ama_exports.macos.sym	yes	yes (per PR description)	consumed by every CMake configure of the C lanes	V-ctest*x14,V-strict*x5	none	no	0	none	none
cmake/ama_exports.map	yes	yes (per PR description)	consumed by every CMake configure of the C lanes	V-ctest*x14,V-strict*x5	none	no	0	none	none
cmake/toolchains/aarch64-linux-gnu.cmake	no	n/a (not in the PR diff)	consumed by every CMake configure of the C lanes	V-ctest*x14,V-strict*x5	none	no	0	none	none
cmake/toolchains/x86_64-w64-mingw32.cmake	yes	yes (per PR description)	consumed by every CMake configure of the C lanes	V-ctest*x14,V-strict*x5	none	no	0	none	none
docker/Dockerfile	yes	yes (per PR description)	container definitions: the Docker Build CI job builds them and check_docker_pins / check_apt_retry gate their contents	V-gate*x61	none	no	0	none	none
docker/Dockerfile.alpine	yes	yes (per PR description)	container definitions: the Docker Build CI job builds them and check_docker_pins / check_apt_retry gate their contents	V-gate*x61	none	no	0	none	none
docker/Dockerfile.c-api	yes	yes (per PR description)	container definitions: the Docker Build CI job builds them and check_docker_pins / check_apt_retry gate their contents	V-gate*x61	none	no	0	none	none
docs/DESIGN_NOTES.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
docs/Doxyfile	yes	yes (per PR description)	documentation build and gates (Sphinx/Doxygen inputs; reference-integrity, source-path and release-state gates)	V-gate*x61	none	no	0	none	none
docs/METRICS_REPORT.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	partial (LoC table)	1	none	none
docs/NIST_PRIME_CURVES.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-gate*x61	none	no	0	none	none
docs/audit/PR394_CAPABILITIES.md	yes	yes (per PR description)	documentation gates (reference integrity, documented counts, source paths, release state, headers) and Phase B claim reproductions	V-black*x1,V-gate*x61,V-mypy*x1,V-ruff*x1	none	no	0	none	none
